country_code,university_name_en,programme_title_en,min_ielts_overall,min_toefl_ibt,min_gpa_4,min_gpa_20,gre_required,gmat_required,work_experience_years_min,entry_notes_en,source_url,last_verified_at
GB,Newcastle University,MSc Entrepreneurship,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.ncl.ac.uk/study/postgraduate,2026-05-01
GB,Cardiff University,MSc Strategic Marketing,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.cardiff.ac.uk/study/postgraduate,2026-05-01
GB,University of Exeter,MSc Global Business,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.exeter.ac.uk/study/postgraduate,2026-05-01
GB,University of York,MSc Human Resource Management,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.york.ac.uk/study/postgraduate,2026-05-01
GB,London School of Economics,MSc Project Management,6.5,92,3.1,15.5,false,false,,Upper second-class honours or equivalent,https://www.lse.ac.uk/study/postgraduate,2026-05-01
GB,University of Edinburgh,MSc Advanced Mechanical Engineering,7.0,92,3.3,16.5,false,false,,Upper second-class honours or equivalent,https://www.ed.ac.uk/study/postgraduate,2026-05-01
GB,University of Manchester,MSc Electrical Power Systems,6.5,92,3.1,15.5,false,false,,Upper second-class honours or equivalent,https://www.manchester.ac.uk/study/postgraduate,2026-05-01
GB,Imperial College London,MSc Civil Engineering,6.5,92,3.1,15.5,false,false,,Upper second-class honours or equivalent,https://www.imperial.ac.uk/study/postgraduate,2026-05-01
GB,University College London,MSc Structural Engineering,6.5,92,3.1,15.5,false,false,,Upper second-class honours or equivalent,https://www.ucl.ac.uk/study/postgraduate,2026-05-01
GB,King's College London,MSc Renewable Energy Engineering,6.5,92,3.1,15.5,false,false,,Upper second-class honours or equivalent,https://www.kcl.ac.uk/study/postgraduate,2026-05-01
GB,University of Bristol,MSc Aerospace Engineering,7.0,92,3.3,16.5,false,false,,Upper second-class honours or equivalent,https://www.bristol.ac.uk/study/postgraduate,2026-05-01
GB,University of Warwick,MSc Materials Science and Engineering,6.5,92,3.1,15.5,false,false,,Upper second-class honours or equivalent,https://warwick.ac.uk/study/postgraduate,2026-05-01
GB,University of Glasgow,MSc Biomedical Engineering,6.5,92,3.1,15.5,false,false,,Upper second-class honours or equivalent,https://www.gla.ac.uk/study/postgraduate,2026-05-01
GB,University of Birmingham,MSc Chemical Engineering,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.birmingham.ac.uk/study/postgraduate,2026-05-01
GB,University of Leeds,MSc Engineering Management,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.leeds.ac.uk/study/postgraduate,2026-05-01
GB,University of Sheffield,MSc Public Health,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.sheffield.ac.uk/study/postgraduate,2026-05-01
GB,University of Nottingham,MSc Global Health,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.nottingham.ac.uk/study/postgraduate,2026-05-01
GB,University of Southampton,MSc Health Data Science,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.southampton.ac.uk/study/postgraduate,2026-05-01
GB,Queen Mary University of London,MSc Epidemiology,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.qmul.ac.uk/study/postgraduate,2026-05-01
GB,University of Liverpool,MSc Health Policy,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.liverpool.ac.uk/study/postgraduate,2026-05-01
GB,Newcastle University,MSc Clinical Research,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.ncl.ac.uk/study/postgraduate,2026-05-01
GB,Cardiff University,MSc Biomedical Sciences,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.cardiff.ac.uk/study/postgraduate,2026-05-01
GB,University of Exeter,MSc Nursing Studies,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.exeter.ac.uk/study/postgraduate,2026-05-01
GB,University of York,MSc Health Economics,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.york.ac.uk/study/postgraduate,2026-05-01
GB,London School of Economics,MSc Medical Statistics,6.5,92,3.1,15.5,false,false,,Upper second-class honours or equivalent,https://www.lse.ac.uk/study/postgraduate,2026-05-01
GB,University of Edinburgh,MSc Economics,7.0,92,3.3,16.5,false,false,,Upper second-class honours or equivalent,https://www.ed.ac.uk/study/postgraduate,2026-05-01
GB,University of Manchester,MSc Finance,6.5,92,3.1,15.5,false,false,,Upper second-class honours or equivalent,https://www.manchester.ac.uk/study/postgraduate,2026-05-01
GB,Imperial College London,MSc Financial Economics,6.5,92,3.1,15.5,false,false,,Upper second-class honours or equivalent,https://www.imperial.ac.uk/study/postgraduate,2026-05-01
GB,University College London,MSc Accounting and Finance,6.5,92,3.1,15.5,false,false,,Upper second-class honours or equivalent,https://www.ucl.ac.uk/study/postgraduate,2026-05-01
GB,King's College London,MSc Banking and Finance,6.5,92,3.1,15.5,false,false,,Upper second-class honours or equivalent,https://www.kcl.ac.uk/study/postgraduate,2026-05-01
GB,University of Bristol,MSc Economics and Policy,7.0,92,3.3,16.5,false,false,,Upper second-class honours or equivalent,https://www.bristol.ac.uk/study/postgraduate,2026-05-01
GB,University of Warwick,MSc Quantitative Finance,6.5,92,3.1,15.5,false,false,,Upper second-class honours or equivalent,https://warwick.ac.uk/study/postgraduate,2026-05-01
GB,University of Glasgow,MSc International Finance,6.5,92,3.1,15.5,false,false,,Upper second-class honours or equivalent,https://www.gla.ac.uk/study/postgraduate,2026-05-01
GB,University of Birmingham,MSc Money and Banking,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.birmingham.ac.uk/study/postgraduate,2026-05-01
GB,University of Leeds,MSc Applied Economics,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.leeds.ac.uk/study/postgraduate,2026-05-01
