university_name_en,city_en,official_domain,postgraduate_catalogue_url,priority,source_status,notes
Heriot-Watt University,Edinburgh,hw.ac.uk,https://www.hw.ac.uk/study/postgraduate,2,pending_2027,Awaiting confirmed 2027 course and fee pages
Aston University,Birmingham,aston.ac.uk,https://www.aston.ac.uk/study/courses?study_level=postgraduate,2,pending_2027,Awaiting confirmed 2027 course and fee pages
Coventry University,Coventry,coventry.ac.uk,https://www.coventry.ac.uk/study-at-coventry/postgraduate-study/,2,pending_2027,Awaiting confirmed 2027 course and fee pages
Northumbria University,Newcastle,northumbria.ac.uk,https://www.northumbria.ac.uk/study-at-northumbria/courses/?level=Postgraduate,2,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Portsmouth,Portsmouth,port.ac.uk,https://www.port.ac.uk/study/courses/postgraduate-taught,2,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Plymouth,Plymouth,plymouth.ac.uk,https://www.plymouth.ac.uk/courses/postgraduate-taught,2,pending_2027,Awaiting confirmed 2027 course and fee pages
Brunel University London,London,brunel.ac.uk,https://www.brunel.ac.uk/study/postgraduate,2,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Essex,Colchester,essex.ac.uk,https://www.essex.ac.uk/courses/postgraduate,2,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Kent,Canterbury,kent.ac.uk,https://www.kent.ac.uk/courses/postgraduate,2,pending_2027,Awaiting confirmed 2027 course and fee pages
Swansea University,Swansea,swansea.ac.uk,https://www.swansea.ac.uk/postgraduate/taught/,2,pending_2027,Awaiting confirmed 2027 course and fee pages
